"","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","ppr"
"32","Julian Edelman","WR","NE",88,61,692,670,314,7,7.6,1.03,0.25,0.24,0.53,174.5
"33","Marvin Jones","WR","CIN",103,65,816,1397,283,4,13.6,0.58,0.31,0.2,0.53,173.9
"34","Donte Moncrief","WR","IND",105,64,733,1049,267,6,10,0.7,0.2,0.17,0.39,173.3
"35","Michael Floyd","WR","ARI",89,52,849,1409,206,6,15.8,0.6,0.25,0.17,0.42,172.9
"36","Martavis Bryant","WR","PIT",92,50,765,1300,330,6,14.1,0.59,0.29,0.21,0.52,172.2
"37","Keenan Allen","WR","SD",89,67,725,678,236,4,7.6,1.07,0.29,0.25,0.58,163.5
"38","Alshon Jeffery","WR","CHI",94,54,807,1371,175,4,14.6,0.59,0.51,0.31,0.82,158.7
"39","Tyler Lockett","WR","SEA",69,51,664,923,249,6,13.4,0.72,0.22,0.14,0.37,155.4
"40","Terrance Williams","WR","DAL",93,52,840,1268,275,3,13.6,0.66,0.32,0.18,0.49,154
"41","Stefon Diggs","WR","MIN",84,52,720,890,292,4,10.6,0.81,0.33,0.22,0.56,149.3
"42","Danny Amendola","WR","NE",87,65,648,600,264,3,6.9,1.08,0.14,0.16,0.33,148.9
"43","Markus Wheaton","WR","PIT",79,44,749,1133,158,5,14.3,0.66,0.19,0.13,0.34,148.9
"44","Jermaine Kearse","WR","SEA",68,49,685,817,228,5,12,0.84,0.2,0.14,0.35,147.5
"45","Cole Beasley","WR","DAL",75,52,536,358,317,5,4.8,1.5,0.09,0.14,0.28,135.6
"46","Rishard Matthews","WR","MIA",61,43,662,696,230,4,11.4,0.95,0.2,0.15,0.36,133.6
"47","Jamison Crowder","WR","WAS",78,59,604,479,340,2,6.1,1.26,0.11,0.14,0.29,131.6
"48","Torrey Smith","WR","SF",62,33,663,869,213,4,14,0.76,0.23,0.12,0.33,123.3
"49","Kenny Britt","WR","STL",72,36,681,1146,130,3,15.9,0.59,0.31,0.15,0.44,122.1
"50","Robert Woods","WR","BUF",80,47,552,865,150,3,10.8,0.64,0.2,0.19,0.43,120.2
"51","Seth Roberts","WR","OAK",55,32,480,523,130,5,9.5,0.92,0.11,0.09,0.21,110
"52","Devin Funchess","WR","CAR",63,31,473,809,112,5,12.8,0.58,0.15,0.13,0.3,108.3
"53","DeSean Jackson","WR","WAS",49,30,528,723,157,4,14.8,0.73,0.3,0.17,0.47,106.8
"54","Davante Adams","WR","GB",94,50,483,951,136,1,10.1,0.51,0.24,0.2,0.46,104.3
"55","Dontrelle Inman","WR","SD",63,35,486,781,187,3,12.4,0.62,0.19,0.11,0.3,101.6
"56","Dwayne Harris","WR","NYG",57,36,396,479,141,4,8.4,0.83,0.11,0.1,0.23,100.8
"57","Mike Wallace","WR","MIN",72,39,473,788,169,2,10.9,0.6,0.25,0.17,0.43,98.9
"58","Kendall Wright","WR","TEN",60,36,408,701,143,3,11.7,0.58,0.23,0.17,0.41,96.5
"59","Albert Wilson","WR","KC",57,35,451,580,219,2,10.2,0.78,0.21,0.14,0.36,94.7
"60","Chris Hogan","WR","BUF",59,36,450,759,102,2,12.9,0.59,0.16,0.13,0.31,93.4
"61","DeVante Parker","WR","MIA",50,26,494,692,103,3,13.8,0.71,0.2,0.13,0.33,93.4
"62","Mohamed Sanu","WR","CIN",49,33,394,350,205,0,7.1,1.13,0.08,0.1,0.2,91.5
"63","Brandon LaFell","WR","NE",74,37,515,1030,224,0,13.9,0.5,0.28,0.17,0.45,89.4
"64","Dez Bryant","WR","DAL",72,31,401,961,141,3,13.3,0.42,0.43,0.24,0.66,89.1
"65","Kenny Stills","WR","MIA",63,27,440,1050,93,3,16.7,0.42,0.2,0.11,0.31,89
"66","Harry Douglas","WR","TEN",72,36,411,867,130,2,12,0.47,0.2,0.15,0.36,88.5
"67","Brandon Coleman","WR","NO",49,30,454,674,126,2,13.8,0.67,0.13,0.07,0.2,87.4
"68","Jarius Wright","WR","MIN",50,34,442,503,175,0,10.1,0.88,0.17,0.12,0.3,81.1
"69","Jeremy Butler","WR","BAL",44,31,363,351,146,0,8,1.03,0.13,0.13,0.28,67.3
"70","Darrius Heyward-Bey","WR","PIT",39,21,314,783,73,2,20.1,0.4,0.16,0.08,0.23,64.4
"71","Ryan Grant","WR","WAS",42,23,268,389,98,2,9.3,0.69,0.1,0.09,0.2,61.8
"72","Adam Humphries","WR","TB",40,27,260,270,123,1,6.8,0.96,0.07,0.1,0.2,59
"73","Andre Holmes","WR","OAK",33,14,201,501,43,4,15.2,0.4,0.11,0.06,0.16,58.1
"74","Nelson Agholor","WR","PHI",44,23,283,496,95,1,11.3,0.57,0.14,0.09,0.23,57.3
"75","Justin Hunter","WR","TEN",31,22,264,366,33,1,11.8,0.72,0.15,0.1,0.26,54.4
"76","Quincy Enunwa","WR","NYJ",46,22,315,480,148,0,10.4,0.66,0.12,0.11,0.25,53.5
"77","Josh Bellamy","WR","CHI",34,19,224,351,68,2,10.3,0.64,0.1,0.07,0.18,53.4
"78","J.J. Nelson","WR","ARI",27,11,299,609,52,2,22.6,0.49,0.16,0.08,0.23,52.9
"79","Taylor Gabriel","WR","CLE",48,28,241,360,108,0,7.5,0.67,0.11,0.11,0.24,52.1
"80","Phillip Dorsett","WR","IND",39,18,225,506,60,1,13,0.44,0.14,0.09,0.23,48.2
"81","Jaelen Strong","WR","HOU",24,14,161,253,58,3,10.5,0.64,0.07,0.07,0.15,48.1
"82","De'Anthony Thomas","WR","KC",24,17,140,29,149,1,1.2,4.83,0.01,0.07,0.12,46.4
"83","Nick Williams","WR","ATL",25,17,159,144,90,2,5.8,1.1,0.04,0.06,0.12,44.9
"84","Marqise Lee","WR","JAC",32,15,191,336,121,1,10.5,0.57,0.12,0.1,0.23,43.9
"85","Jeremy Kerley","WR","NYJ",26,16,152,138,100,2,5.3,1.1,0.02,0.04,0.08,43.2
"86","Chris Conley","WR","KC",31,17,199,339,69,1,10.9,0.59,0.14,0.09,0.23,42.9
"87","Justin Hardy","WR","ATL",36,21,194,354,65,0,9.8,0.55,0.13,0.1,0.24,40.4
"88","Rashad Greene","WR","JAC",35,19,93,228,54,2,6.5,0.41,0.08,0.11,0.22,40.3
"89","Brice Butler","WR","DAL",26,12,258,307,96,0,11.8,0.84,0.21,0.16,0.38,37.8
"90","Bennie Fowler","WR","DEN",25,16,203,207,93,0,8.3,0.98,0.04,0.04,0.09,36.3
"91","Adam Thielen","WR","MIN",18,12,144,179,42,0,9.9,0.8,0.09,0.06,0.15,35.3
"92","Jaron Brown","WR","ARI",23,11,144,313,22,1,13.6,0.46,0.07,0.06,0.13,31.4
"93","Bruce Ellington","WR","SF",19,13,153,203,110,0,10.7,0.75,0.07,0.04,0.11,29
"94","T.J. Jones","WR","DET",18,10,132,194,41,1,10.8,0.68,0.07,0.04,0.12,28.9
"95","Devin Smith","WR","NYJ",28,9,115,574,18,1,20.5,0.2,0.22,0.1,0.31,26.5
"96","Chris Matthews","WR","BAL",16,9,97,213,28,1,13.3,0.46,0.14,0.09,0.23,24.7
"97","Andre Roberts","WR","WAS",21,11,135,246,38,0,11.7,0.55,0.1,0.07,0.18,24.5
"98","Cameron Meredith","WR","CHI",16,11,120,164,51,0,10.2,0.73,0.09,0.07,0.18,23
"99","Bradley Marquez","WR","STL",22,13,88,191,27,0,8.7,0.46,0.06,0.05,0.12,21.8
"100","Charles Johnson","WR","MIN",13,9,127,154,28,0,11.8,0.82,0.12,0.08,0.2,21.7
"101","Brian Quick","WR","STL",32,10,102,514,39,0,16.1,0.2,0.22,0.11,0.32,20.2
"102","Jared Abbrederis","WR","GB",16,9,111,249,15,0,15.6,0.45,0.1,0.05,0.15,20.1
"103","Cody Latimer","WR","DEN",12,6,59,127,32,1,10.6,0.46,0.04,0.04,0.09,18
"104","Tyrell Williams","WR","SD",6,2,90,161,51,1,26.8,0.56,0.13,0.04,0.15,17
"105","Michael Campanaro","WR","BAL",6,5,35,18,32,0,3,1.94,0.02,0.04,0.07,16.2
"106","Brandon Tate","WR","CIN",3,2,59,59,10,1,19.7,1,0.01,0.01,0.02,13.9
"107","Russell Shepard","WR","TB",9,3,28,135,1,1,15,0.21,0.04,0.02,0.06,11.8
"108","Corey Fuller","WR","DET",9,4,76,143,9,0,15.9,0.53,0.07,0.03,0.09,11.6
"109","Deonte Thompson","WR","CHI",3,2,81,103,3,0,34.3,0.79,0.06,0.01,0.06,10.1
"110","Jeff Janis","WR","GB",12,2,79,225,29,0,18.8,0.35,0.05,0.02,0.07,9.9
"111","Tre McBride","WR","TEN",4,2,8,37,1,1,9.2,0.22,0.02,0.02,0.04,9.6
"112","Chris Matthews","WR","SEA",9,4,54,146,14,0,16.2,0.37,0.07,0.04,0.1,9.4
"113","Terrelle Pryor","WR","CLE",8,1,42,120,5,0,15,0.35,0.22,0.1,0.31,5.1
"114","Paul Richardson","WR","SEA",1,1,40,28,12,0,28,1.43,0.08,0.03,0.1,5
"115","Cordarrelle Patterson","WR","MIN",2,2,10,6,4,0,3,1.67,0,0,0.01,4.5
"116","Marquise Goodwin","WR","BUF",2,2,24,22,2,0,11,1.09,0.04,0.03,0.08,4.4
"117","Eric Weems","WR","ATL",1,1,11,6,5,0,6,1.83,0,0,0,2.5
"118","Kasen Williams","WR","SEA",1,1,8,5,3,0,5,1.6,0.02,0.03,0.06,2.3
"119","Sammie Coates","WR","PIT",2,1,11,17,4,0,8.5,0.65,0.1,0.08,0.18,2.1
"120","Brittan Golden","WR","ARI",1,1,5,5,0,0,5,1,0,0,0.01,1.5
"121","Kaelin Clay","WR","BAL",0,0,0,0,0,0,NA,NA,0,0,0,0
"122","Kevin Norwood","WR","CAR",1,0,0,21,0,0,21,0,0.05,0.03,0.08,0
"123","Matthew Slater","WR","NE",1,0,0,34,0,0,34,0,0.01,0,0.01,0
"124","Neal Sterling","WR","JAC",0,0,0,0,0,0,NA,NA,0,0,0,0
"125","Quan Bray","WR","IND",0,0,0,0,0,0,NA,NA,0,0,0,0
"126","Vince Mayle","WR","DAL",1,0,0,23,0,0,23,0,0.1,0.03,0.11,0
"127","Walt Powell","WR","BUF",0,0,0,0,0,0,NA,NA,0,0,0,0
