"","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","ppr"
"128","Josh Bellamy","WR","CHI",18,10,83,206,32,1,11.4,0.4,0.09,0.07,0.17,24.3
"129","Bruce Ellington","WR","HOU",12,8,92,129,24,1,10.8,0.71,0.1,0.11,0.23,23.2
"130","Trey Quinn","WR","WAS",10,9,75,73,17,1,7.3,1.03,0.09,0.1,0.2,22.5
"131","Marcus Johnson","WR","IND",8,6,102,110,28,1,13.8,0.93,0.07,0.04,0.11,22
"132","James Washington","WR","PIT",25,8,77,396,27,1,15.8,0.19,0.14,0.07,0.2,21.7
"133","Keith Kirkwood","WR","NO",10,6,83,118,28,1,11.8,0.7,0.14,0.12,0.29,20.3
"134","Bruce Ellington","WR","DET",16,12,80,54,41,0,3.4,1.48,0.15,0.21,0.42,20.2
"135","Golden Tate","WR","PHI",20,11,97,208,42,0,10.4,0.47,0.25,0.19,0.46,19.9
"136","Leonte Carroo","WR","MIA",3,2,94,62,36,1,20.7,1.52,0.17,0.05,0.19,18.8
"137","Bennie Fowler","WR","NYG",13,8,92,125,46,0,9.6,0.74,0.09,0.08,0.18,17.2
"138","Cody Latimer","WR","NYG",9,6,108,188,23,0,20.9,0.57,0.19,0.06,0.22,16.8
"139","T.J. Jones","WR","DET",12,8,78,133,13,0,11.1,0.59,0.08,0.05,0.13,15.8
"140","Justin Hardy","WR","ATL",13,8,74,96,45,0,7.4,0.77,0.03,0.03,0.06,15.4
"141","Richie James","WR","SF",6,5,94,29,91,0,4.8,3.24,0.02,0.03,0.05,14.4
"142","Isaiah McKenzie","WR","BUF",3,2,20,0,19,0,0,Inf,0,0.07,0.11,14
"143","Russell Shepard","WR","NYG",9,5,90,162,3,0,18,0.56,0.1,0.05,0.15,14
"144","Breshad Perriman","WR","CLE",11,6,81,168,33,0,15.3,0.48,0.12,0.07,0.19,13.8
"145","Marcell Ateman","WR","OAK",15,7,66,143,20,0,9.5,0.46,0.26,0.23,0.54,13.6
"146","Alex Erickson","WR","CIN",15,8,44,195,21,0,13,0.23,0.06,0.04,0.1,13.2
"147","Travis Benjamin","WR","LAC",13,5,62,340,15,0,26.2,0.18,0.17,0.05,0.2,12.7
"148","De'Anthony Thomas","WR","KC",5,3,29,71,27,1,14.2,0.41,0.05,0.04,0.09,12.5
"149","Deontay Burnett","WR","NYJ",7,5,70,61,16,0,8.7,1.15,0.06,0.07,0.14,12
"150","Cody Core","WR","CIN",11,6,54,133,8,0,12.1,0.41,0.08,0.06,0.15,11.4
"151","DaeSean Hamilton","WR","DEN",7,5,61,58,18,0,8.3,1.05,0.03,0.03,0.07,11.1
"152","Darius Jennings","WR","TEN",6,5,55,89,19,0,14.8,0.62,0.05,0.03,0.07,10.5
"153","Cameron Batson","WR","TEN",7,5,52,78,19,0,11.1,0.67,0.08,0.06,0.14,10.3
"154","Kevin White","WR","CHI",5,3,70,104,5,0,20.8,0.67,0.13,0.06,0.18,10
"155","Tommylee Lewis","WR","NO",1,1,28,27,1,1,27,1.04,0.03,0.01,0.03,9.8
"156","Michael Floyd","WR","WAS",11,4,53,161,9,0,14.6,0.33,0.11,0.07,0.17,9.3
"157","Dwayne Harris","WR","OAK",5,5,31,-6,37,0,-1.2,-5.17,0,0.01,0.02,9.3
"158","Demaryius Thomas","WR","HOU",4,3,61,40,36,0,10,1.52,0.15,0.08,0.23,9.1
"159","Derrick Willies","WR","CLE",5,3,61,18,54,0,3.6,3.39,0.05,0.12,0.21,9.1
"160","Josh Gordon","WR","CLE",3,1,17,129,17,1,43,0.13,0.29,0.08,0.32,8.7
"161","Chad Beebe","WR","MIN",4,4,39,51,12,0,12.8,0.76,0.1,0.06,0.16,7.9
"162","Ray-Ray McCloud","WR","BUF",5,4,31,9,27,0,1.8,3.44,0.01,0.03,0.04,6.8
"163","J.J. Nelson","WR","ARI",12,4,21,222,22,0,18.5,0.09,0.12,0.05,0.16,6.6
"164","Rashad Greene","WR","JAC",4,3,28,23,9,0,5.8,1.22,0.03,0.03,0.06,5.8
"165","Shelton Gibson","WR","PHI",3,1,48,100,0,0,33.3,0.48,0.08,0.02,0.08,5.8
"166","Andre Roberts","WR","NYJ",8,3,25,70,15,0,8.8,0.36,0.02,0.02,0.05,5.7
"167","Justin Hunter","WR","PIT",10,3,21,169,2,0,16.9,0.12,0.16,0.08,0.24,5.1
"168","Auden Tate","WR","CIN",9,3,20,98,5,0,10.9,0.2,0.1,0.09,0.2,5
"169","Jawill Davis","WR","NYG",6,2,27,116,2,0,19.3,0.23,0.1,0.05,0.15,4.7
"170","Charone Peake","WR","NYJ",3,2,25,40,4,0,13.3,0.62,0.02,0.02,0.04,4.5
"171","DeAndre Carter","WR","PHI",2,2,21,7,14,0,3.5,3,0,0.01,0.02,4.1
"172","Rishard Matthews","WR","TEN",6,3,11,20,5,0,3.3,0.55,0.04,0.07,0.13,4.1
"173","Corey Coleman","WR","NYG",3,2,20,30,0,0,10,0.67,0.04,0.03,0.08,4
"174","Terrance Williams","WR","DAL",3,2,18,27,6,0,9,0.67,0.06,0.05,0.12,3.8
"175","Vyncint Smith","WR","HOU",4,1,28,165,1,0,41.2,0.17,0.18,0.05,0.21,3.8
"176","KhaDarel Hodge","WR","LA",2,2,17,17,0,0,8.5,1,0.01,0.01,0.03,3.7
"177","Nick Williams","WR","LA",3,2,17,18,5,0,6,0.94,0.03,0.05,0.09,3.7
"178","Brandon Zylstra","WR","MIN",1,1,23,15,8,0,15,1.53,0.02,0.01,0.03,3.3
"179","Noah Brown","WR","DAL",2,1,22,14,12,0,7,1.57,0.02,0.02,0.05,3.2
"180","Trent Sherfield","WR","ARI",3,2,12,27,1,0,9,0.44,0.05,0.04,0.09,3.2
"181","Malik Turner","WR","SEA",2,1,19,14,10,0,7,1.36,0.04,0.06,0.12,2.9
"182","Josh Malone","WR","CIN",4,1,12,21,0,0,5.2,0.57,0.03,0.05,0.09,2.2
"183","Sammie Coates","WR","HOU",2,1,12,9,5,0,4.5,1.33,0.01,0.03,0.05,2.2
"184","J'Mon Moore","WR","GB",1,1,10,4,6,0,4,2.5,0.01,0.02,0.04,2
"185","Darrius Heyward-Bey","WR","PIT",1,1,9,-1,10,0,-1,-9,0,0.01,0.02,1.9
"186","Russell Gage","WR","ATL",1,1,9,2,7,0,2,4.5,0,0.01,0.01,1.9
"187","Damiere Byrd","WR","CAR",2,1,8,25,1,0,12.5,0.32,0.02,0.01,0.02,1.8
"188","Keon Hatcher","WR","OAK",2,1,8,14,8,0,7,0.57,0.03,0.03,0.06,1.8
"189","Marcus Kemp","WR","KC",2,1,7,4,8,0,2,1.75,0,0.02,0.04,1.7
"190","Brandon Powell","WR","DET",3,1,6,6,3,0,2,1,0.01,0.03,0.04,1.6
"191","Justin Watson","WR","TB",1,1,5,5,0,0,5,1,0,0.01,0.01,1.5
"192","Andy Jones","WR","DET",3,1,4,5,1,0,1.7,0.8,0.02,0.04,0.07,1.4
"193","Brice Butler","WR","DAL",1,0,0,46,0,0,46,0,0.13,0.03,0.13,0
"194","Brice Butler","WR","MIA",1,0,0,5,0,0,5,0,0.04,0.04,0.08,0
"195","DeAndre Carter","WR","HOU",0,0,0,0,0,0,NA,NA,0,0,0,0
"196","Deonte Thompson","WR","BUF",3,0,0,62,0,0,20.7,0,0.19,0.19,0.42,0
"197","Geremy Davis","WR","LAC",1,0,0,0,0,0,0,NA,0,0.01,0.02,0
"198","Isaiah McKenzie","WR","DEN",0,0,0,0,0,0,NA,NA,0,0,0,0
"199","Javon Wims","WR","CHI",1,0,0,4,0,0,4,0,0.01,0.04,0.07,0
"200","Jaydon Mickens","WR","JAC",0,0,0,0,0,0,NA,NA,0,0,0,0
"201","Jehu Chesson","WR","WAS",1,0,0,15,0,0,15,0,0.02,0.01,0.02,0
"202","Johnny Holton","WR","OAK",1,0,0,45,0,0,45,0,0.15,0.03,0.15,0
"203","JoJo Natson","WR","LA",0,0,0,0,0,0,NA,NA,0,0,0,0
"204","Lance Lenoir","WR","DAL",0,0,0,0,0,0,NA,NA,0,0,0,0
"205","Matthew Slater","WR","NE",0,0,0,0,0,0,NA,NA,0,0,0,0
"206","Mike Wallace","WR","PHI",3,0,0,109,0,0,36.3,0,0.32,0.09,0.36,0
"207","Nick Williams","WR","TEN",1,0,0,27,0,0,27,0,0.05,0.01,0.05,0
"208","Pharoh Cooper","WR","LA",0,0,0,0,0,0,NA,NA,0,0,0,0
"209","Quadree Henderson","WR","NYG",0,0,0,0,0,0,NA,NA,0,0,0,0
"210","Rishard Matthews","WR","NYJ",1,0,0,24,0,0,24,0,0.13,0.03,0.13,0
"211","River Cracraft","WR","DEN",0,0,0,0,0,0,NA,NA,0,0,0,0
"212","Trevor Davis","WR","GB",0,0,0,0,0,0,NA,NA,0,0,0,0
"213","Rod Streater","WR","CLE",0,0,0,0,0,0,NA,NA,0,0,0,-1.1
