"","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","ppr"
"1","Adam Thielen","WR","MIN",124,91,1135,1150,368,8,9.3,0.99,0.38,0.28,0.68,254.5
"2","Davante Adams","WR","GB",113,76,1006,1320,353,10,11.7,0.76,0.36,0.27,0.66,236.6
"3","Julio Jones","WR","ATL",125,84,1304,1725,356,3,13.8,0.76,0.47,0.29,0.76,233.6
"4","Michael Thomas","WR","NO",97,85,1004,771,368,7,7.9,1.3,0.28,0.27,0.6,227.4
"5","Antonio Brown","WR","PIT",121,68,850,1331,374,11,11,0.64,0.37,0.26,0.64,219
"6","Tyreek Hill","WR","KC",91,61,981,1296,360,9,14.2,0.76,0.37,0.24,0.61,218.5
"7","DeAndre Hopkins","WR","HOU",97,69,967,1227,269,8,12.6,0.79,0.43,0.31,0.76,213
"8","Odell Beckham","WR","NYG",114,73,1012,1369,273,5,12,0.74,0.43,0.28,0.73,206.1
"9","JuJu Smith-Schuster","WR","PIT",110,77,1011,908,477,4,8.3,1.11,0.25,0.23,0.52,203.4
"10","Stefon Diggs","WR","MIN",114,79,790,977,383,6,8.6,0.81,0.33,0.27,0.64,198.8
"11","Mike Evans","WR","TB",96,60,1004,1448,168,5,15.1,0.69,0.31,0.22,0.54,190.4
"12","Brandin Cooks","WR","LA",85,60,962,1110,318,3,13.1,0.87,0.36,0.24,0.62,184.3
"13","Tyler Boyd","WR","CIN",89,63,841,797,366,6,9,1.06,0.24,0.22,0.5,183.4
"14","Robert Woods","WR","LA",88,57,883,1076,273,4,12.2,0.82,0.32,0.23,0.57,179.6
"15","Emmanuel Sanders","WR","DEN",88,64,789,861,306,4,9.8,0.92,0.28,0.23,0.54,177.6
"16","Keenan Allen","WR","LAC",94,68,840,801,300,3,8.5,1.05,0.29,0.27,0.62,177.5
"17","Kenny Golladay","WR","DET",83,53,811,1018,302,5,12.3,0.8,0.35,0.2,0.55,164.9
"18","Calvin Ridley","WR","ATL",66,47,625,706,277,8,10.7,0.89,0.19,0.15,0.36,160.2
"19","Tyler Lockett","WR","SEA",51,41,666,634,175,8,12.4,1.05,0.23,0.17,0.42,158.6
"20","A.J. Green","WR","CIN",75,44,676,947,156,6,12.6,0.71,0.4,0.26,0.67,147.6
"21","T.Y. Hilton","WR","IND",71,43,688,731,263,5,10.3,0.94,0.31,0.21,0.54,141.8
"22","DeSean Jackson","WR","TB",69,38,712,1261,176,3,18.3,0.56,0.27,0.16,0.42,135.7
"23","Jarvis Landry","WR","CLE",107,59,612,1121,165,2,10.5,0.55,0.3,0.28,0.63,132.2
"24","Cooper Kupp","WR","LA",54,38,530,438,299,6,8.1,1.21,0.2,0.2,0.44,128.3
"25","Sterling Shepard","WR","NYG",69,47,600,654,222,3,9.5,0.92,0.2,0.17,0.4,127.7
"26","Adam Humphries","WR","TB",63,46,545,418,312,4,6.6,1.3,0.09,0.14,0.28,125.6
"27","Chris Godwin","WR","TB",61,44,575,670,173,4,11,0.86,0.14,0.14,0.31,125.5
"28","John Brown","WR","BAL",75,36,651,1244,146,4,16.6,0.52,0.33,0.17,0.49,125.5
"29","Dede Westbrook","WR","JAC",65,42,482,502,249,4,7.7,0.96,0.19,0.16,0.38,121.2
"30","Taylor Gabriel","WR","CHI",67,50,528,828,185,2,12.4,0.64,0.25,0.19,0.46,120.1
"31","DJ Moore","WR","CAR",49,38,565,462,310,2,9.4,1.22,0.17,0.14,0.33,119.4
"32","Corey Davis","WR","TEN",81,45,606,828,198,2,10.2,0.73,0.38,0.29,0.7,117.9
"33","Golden Tate","WR","DET",69,44,508,450,272,3,6.5,1.13,0.22,0.27,0.56,117
"34","Marvin Jones","WR","DET",62,35,508,906,101,5,14.6,0.56,0.36,0.19,0.53,115.8
"35","Julian Edelman","WR","NE",60,43,494,419,217,3,7,1.18,0.19,0.22,0.47,115.2
"36","Sammy Watkins","WR","KC",55,40,519,526,225,3,9.6,0.99,0.16,0.15,0.34,115.1
"37","Larry Fitzgerald","WR","ARI",69,42,415,613,98,5,8.9,0.68,0.25,0.21,0.5,113.5
"38","Michael Crabtree","WR","BAL",85,45,501,980,90,3,11.5,0.51,0.26,0.19,0.47,113.1
"39","Mohamed Sanu","WR","ATL",57,41,538,499,245,3,8.8,1.08,0.14,0.13,0.29,113
"40","Christian Kirk","WR","ARI",60,40,536,574,223,3,9.6,0.93,0.24,0.19,0.44,112.8
"41","Alshon Jeffery","WR","PHI",60,40,461,630,150,4,10.5,0.73,0.27,0.21,0.5,110.1
"42","Devin Funchess","WR","CAR",67,40,514,866,73,3,12.9,0.59,0.34,0.21,0.54,109.4
"43","Mike Williams","WR","LAC",39,24,419,616,84,7,15.8,0.68,0.23,0.11,0.33,109.2
"44","Willie Snead","WR","BAL",78,51,507,615,235,1,7.9,0.82,0.17,0.19,0.4,109
"45","Tyrell Williams","WR","LAC",41,27,497,604,132,5,14.7,0.82,0.23,0.13,0.36,108.1
"46","Allen Robinson","WR","CHI",61,35,481,814,116,4,13.3,0.59,0.29,0.2,0.5,107.1
"47","Will Fuller","WR","HOU",45,32,503,623,166,4,13.8,0.81,0.29,0.2,0.5,106.3
"48","Donte Moncrief","WR","JAC",68,34,517,809,212,3,11.9,0.64,0.31,0.17,0.48,103.7
"49","Nelson Agholor","WR","PHI",70,46,467,712,237,1,10.2,0.66,0.22,0.17,0.41,101.9
"50","Cole Beasley","WR","DAL",60,45,443,443,123,2,7.4,1,0.17,0.18,0.39,101.3
"51","Danny Amendola","WR","MIA",60,47,463,466,187,1,7.8,0.99,0.17,0.18,0.39,99.3
"52","Anthony Miller","WR","CHI",47,28,383,599,124,5,12.7,0.64,0.2,0.14,0.35,97.8
"53","Josh Gordon","WR","NE",55,31,547,776,176,2,14.1,0.7,0.31,0.18,0.49,97.7
"54","Demaryius Thomas","WR","DEN",54,35,396,587,129,3,10.9,0.67,0.25,0.19,0.46,92.6
"55","David Moore","WR","SEA",37,21,408,607,75,5,16.4,0.67,0.28,0.15,0.42,92.3
"56","Albert Wilson","WR","MIA",37,27,394,273,334,4,7.4,1.44,0.16,0.18,0.38,92
"57","Zay Jones","WR","BUF",60,37,387,612,93,2,10.2,0.63,0.19,0.18,0.41,87.7
"58","Antonio Callaway","WR","CLE",58,29,385,827,166,3,14.3,0.47,0.22,0.15,0.38,86.2
"59","Curtis Samuel","WR","CAR",25,19,196,251,59,4,10,0.78,0.13,0.1,0.23,81.4
"60","Courtland Sutton","WR","DEN",53,24,430,703,144,2,13.3,0.61,0.23,0.14,0.37,79
"61","Marquez Valdes-Scantling","WR","GB",44,25,413,473,147,2,10.8,0.87,0.13,0.11,0.25,78.3
"62","Jordy Nelson","WR","OAK",39,25,353,387,152,3,9.9,0.91,0.17,0.11,0.28,78.1
"63","Kenny Stills","WR","MIA",37,20,332,641,89,4,17.3,0.52,0.29,0.13,0.39,77.2
"64","Robby Anderson","WR","NYJ",46,23,368,790,118,3,17.2,0.47,0.3,0.15,0.44,77
"65","Chester Rogers","WR","IND",54,36,352,371,187,1,6.9,0.95,0.12,0.12,0.27,75.8
"66","Quincy Enunwa","WR","NYJ",57,32,376,404,240,1,7.1,0.93,0.17,0.2,0.41,75.6
"67","Amari Cooper","WR","DAL",32,22,349,293,173,3,9.2,1.19,0.33,0.24,0.6,74.9
"68","Josh Doctson","WR","WAS",56,31,310,675,62,2,12.1,0.46,0.25,0.17,0.43,74
"69","Keelan Cole","WR","JAC",48,29,375,452,108,1,9.4,0.83,0.2,0.14,0.35,72.5
"70","Marquise Goodwin","WR","SF",30,15,306,450,111,4,15,0.68,0.24,0.13,0.36,70.5
"71","Seth Roberts","WR","OAK",40,26,314,332,136,2,8.3,0.95,0.15,0.12,0.28,70.5
"72","Chris Hogan","WR","NE",34,23,354,433,85,2,12.7,0.82,0.13,0.08,0.21,70.4
"73","Doug Baldwin","WR","SEA",42,31,331,428,91,1,10.2,0.77,0.19,0.17,0.4,70.1
"74","Chris Conley","WR","KC",30,21,214,250,108,4,8.3,0.86,0.08,0.09,0.18,66.4
"75","Kendrick Bourne","WR","SF",41,24,242,335,65,3,8.2,0.72,0.13,0.12,0.27,66.2
"76","Rashard Higgins","WR","CLE",32,22,322,366,64,2,11.4,0.88,0.14,0.12,0.27,66.2
"77","Ryan Grant","WR","IND",41,30,294,332,78,1,8.1,0.89,0.12,0.11,0.24,65.4
"78","Phillip Dorsett","WR","NE",36,27,256,398,85,2,11.1,0.64,0.14,0.11,0.27,64.6
"79","Jermaine Kearse","WR","NYJ",64,29,294,641,100,1,10,0.46,0.22,0.19,0.44,64.4
"80","Geronimo Allison","WR","GB",30,20,303,388,106,2,12.9,0.78,0.24,0.16,0.4,62.3
"81","Laquon Treadwell","WR","MIN",45,29,266,258,105,1,5.7,1.03,0.08,0.1,0.21,61.6
"82","Tajae Sharpe","WR","TEN",34,22,259,395,49,2,11.6,0.66,0.18,0.12,0.31,61.5
"83","Tre'Quan Smith","WR","NO",31,20,294,397,51,2,12.8,0.74,0.19,0.12,0.31,61.4
"84","John Ross","WR","CIN",36,14,176,556,51,5,15.4,0.32,0.23,0.12,0.35,61.3
"85","Jarius Wright","WR","CAR",35,26,257,238,114,1,6.8,1.08,0.09,0.1,0.21,61.1
"86","Keke Coutee","WR","HOU",39,26,273,200,204,1,5.1,1.36,0.17,0.24,0.48,59.3
"87","Paul Richardson","WR","WAS",34,20,262,431,47,2,12.7,0.61,0.24,0.14,0.38,59.1
"88","Pierre Garcon","WR","SF",46,24,286,478,98,1,10.4,0.6,0.27,0.19,0.47,58.6
"89","Jakeem Grant","WR","MIA",33,20,260,271,140,2,8.2,0.96,0.11,0.11,0.24,58
"90","Randall Cobb","WR","GB",38,26,259,243,194,1,6.4,1.07,0.15,0.2,0.4,57.9
"91","Maurice Harris","WR","WAS",43,27,291,433,98,0,10.1,0.67,0.18,0.16,0.36,57.1
"92","Cordarrelle Patterson","WR","NE",20,15,94,75,95,2,3.8,1.25,0.02,0.05,0.09,57
"93","Amari Cooper","WR","OAK",32,22,280,337,97,1,10.5,0.83,0.24,0.14,0.37,56.9
"94","Kelvin Benjamin","WR","BUF",57,20,302,994,50,1,17.4,0.3,0.31,0.17,0.48,56.2
"95","Ryan Switzer","WR","PIT",33,27,214,148,80,1,4.5,1.45,0.04,0.07,0.13,56.2
"96","Michael Gallup","WR","DAL",43,18,304,606,107,1,14.1,0.5,0.23,0.13,0.35,54.4
"97","Allen Hurns","WR","DAL",32,17,228,388,53,2,12.1,0.59,0.16,0.11,0.27,51.8
"98","Aldrick Robinson","WR","MIN",18,11,155,229,14,4,12.7,0.68,0.09,0.05,0.14,50.5
"99","Tavon Austin","WR","DAL",11,8,194,203,57,3,18.5,0.96,0.15,0.06,0.2,49.8
"100","Jordan Matthews","WR","PHI",22,16,277,254,89,1,11.5,1.09,0.11,0.08,0.19,49.7
"101","Josh Reynolds","WR","LA",20,13,178,224,57,3,11.2,0.79,0.11,0.1,0.23,49.6
"102","Martavis Bryant","WR","OAK",28,20,272,325,132,0,11.6,0.84,0.21,0.11,0.31,49.5
"103","Taywan Taylor","WR","TEN",30,21,214,350,96,1,11.7,0.61,0.2,0.13,0.34,48.4
"104","Torrey Smith","WR","CAR",27,16,171,338,48,2,12.5,0.51,0.2,0.13,0.34,45.1
"105","Dante Pettis","WR","SF",21,11,185,271,75,2,12.9,0.68,0.15,0.1,0.25,41.5
"106","DeVante Parker","WR","MIA",29,17,235,387,107,0,13.3,0.61,0.26,0.15,0.41,40.5
"107","Trent Taylor","WR","SF",29,19,150,177,81,1,6.1,0.85,0.09,0.11,0.22,40
"108","Ted Ginn","WR","NO",21,11,133,338,39,2,16.1,0.39,0.29,0.13,0.39,38.9
"109","Brandon LaFell","WR","OAK",16,12,135,133,53,2,8.3,1.02,0.18,0.14,0.33,37.5
"110","Jamison Crowder","WR","WAS",20,13,134,184,64,1,9.2,0.73,0.19,0.15,0.36,35.9
"111","Zach Pascal","WR","IND",28,15,135,313,26,1,11.2,0.43,0.12,0.08,0.2,35.3
"112","Equanimeous St. Brown","WR","GB",24,13,215,353,55,0,14.7,0.61,0.15,0.09,0.25,35
"113","Jaron Brown","WR","SEA",13,8,83,227,7,3,17.5,0.37,0.12,0.06,0.18,34.3
"114","Austin Carr","WR","NO",14,10,107,141,22,2,10.1,0.76,0.07,0.05,0.13,32.7
"115","Brandon Marshall","WR","SEA",24,12,144,263,25,1,11,0.55,0.18,0.15,0.35,32.4
"116","Andre Holmes","WR","BUF",23,14,176,301,42,0,13.1,0.58,0.1,0.07,0.17,31.6
"117","D.J. Chark","WR","JAC",30,14,174,262,45,0,8.7,0.66,0.11,0.08,0.2,31.4
"118","Chris Moore","WR","BAL",18,14,143,163,44,0,9.1,0.88,0.05,0.05,0.1,30.5
"119","Dontrelle Inman","WR","IND",19,15,155,172,51,0,9.1,0.9,0.17,0.15,0.35,30.5
"120","Robert Foster","WR","BUF",14,5,191,409,65,1,29.2,0.47,0.21,0.09,0.28,30.1
"121","Marvin Hall","WR","ATL",13,9,139,135,48,1,10.4,1.03,0.04,0.03,0.08,29.2
"122","Chad Williams","WR","ARI",31,11,113,341,8,1,11,0.33,0.18,0.13,0.32,28.3
"123","Deonte Thompson","WR","DAL",21,15,129,188,38,0,9,0.69,0.11,0.1,0.23,27.9
"124","Cameron Meredith","WR","NO",10,9,114,92,38,1,9.2,1.24,0.14,0.09,0.24,26.4
"125","Damion Ratley","WR","CLE",19,12,142,200,50,0,10.5,0.71,0.14,0.12,0.28,26.2
"126","Tim Patrick","WR","DEN",12,5,77,161,32,2,13.4,0.48,0.07,0.04,0.11,26
"127","Demarcus Robinson","WR","KC",16,10,94,165,29,1,10.3,0.57,0.06,0.06,0.13,25.4
