,,,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage
Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
43,Jermaine McKenzie\jermaine-mckenzie-1,Memphis,CUSA,11,25,409,16.4,3,,,,,25,409,16.4,3
44,Joe Adams*\joe-adams-1,Arkansas,SEC,12,50,813,16.3,6,6,32,5.3,0,56,845,15.1,6
45,Marvin McNutt*\marvin-mcnutt-1,Iowa,Big Ten,13,53,861,16.2,8,1,5,5.0,0,54,866,16.0,8
46,Derrell Johnson-Koulianos*\derrell-johnson-koulianos-1,Iowa,Big Ten,12,46,745,16.2,10,5,40,8.0,0,51,785,15.4,10
47,Orson Charles*\orson-charles-1,Georgia,SEC,13,26,422,16.2,2,,,,,26,422,16.2,2
48,Justin Blackmon*\justin-blackmon-1,Oklahoma State,Big 12,12,111,1782,16.1,20,4,77,19.3,1,115,1859,16.2,21
49,Leonard Hankerson*\leonard-hankerson-1,Miami (FL),ACC,13,72,1156,16.1,13,,,,,72,1156,16.1,13
50,Eric Greenwood\eric-greenwood-1,Idaho,WAC,13,46,741,16.1,6,,,,,46,741,16.1,6
51,Michael Campbell\michael-campbell-1,Temple,MAC,12,45,724,16.1,6,,,,,45,724,16.1,6
52,Rob Housler\rob-housler-1,Florida Atlantic,Sun Belt,12,39,629,16.1,4,1,29,29.0,0,40,658,16.5,4
53,Deantre Lewis\deantre-lewis-1,Arizona State,Pac-10,11,23,370,16.1,2,92,539,5.9,4,115,909,7.9,6
54,Jermaine Kearse*\jermaine-kearse-1,Washington,Pac-10,13,63,1005,16.0,12,,,,,63,1005,16.0,12
55,Devier Posey*\devier-posey-1,Ohio State,Big Ten,13,53,848,16.0,7,,,,,53,848,16.0,7
56,Jarrett Boykin*\jarrett-boykin-1,Virginia Tech,ACC,14,53,847,16.0,6,,,,,53,847,16.0,6
57,Dontrelle Inman\dontrelle-inman-1,Virginia,ACC,12,51,815,16.0,3,,,,,51,815,16.0,3
58,Rod Streater\rod-streater-1,Temple,MAC,12,30,481,16.0,4,7,83,11.9,1,37,564,15.2,5
59,Greg Salas*\greg-salas-1,Hawaii,WAC,14,119,1889,15.9,14,,,,,119,1889,15.9,14
60,Zach Bolger\zach-bolger-1,Wyoming,MWC,11,28,446,15.9,3,,,,,28,446,15.9,3
61,Alex Neutz\alex-neutz-1,Buffalo,MAC,11,26,414,15.9,4,,,,,26,414,15.9,4
62,Marcus Sales*\marcus-sales-1,Syracuse,Big East,11,26,414,15.9,4,,,,,26,414,15.9,4
63,D.J. Woods\dj-woods-1,Cincinnati,Big East,12,57,898,15.8,8,11,87,7.9,2,68,985,14.5,10
64,Chris Owusu*\chris-owusu-1,Stanford,Pac-10,7,25,396,15.8,3,2,32,16.0,0,27,428,15.9,3
65,Torrey Smith*\torrey-smith-1,Maryland,ACC,13,67,1055,15.7,12,9,7,0.8,0,76,1062,14.0,12
66,Rishard Matthews*\rishard-matthews-1,Nevada,WAC,14,56,879,15.7,5,5,76,15.2,2,61,955,15.7,7
67,Kelvin Bolden*\kelvin-bolden-1,Southern Mississippi,CUSA,12,46,722,15.7,6,5,27,5.4,0,51,749,14.7,6
68,Aaron Dobson\aaron-dobson-1,Marshall,CUSA,12,44,689,15.7,5,2,18,9.0,0,46,707,15.4,5
69,Da'Jon McKnight\dajon-mcknight-1,Minnesota,Big Ten,12,48,750,15.6,10,,,,,48,750,15.6,10
70,Ryan Grant\ryan-grant-2,Tulane,CUSA,12,33,515,15.6,4,5,3,0.6,0,38,518,13.6,4
71,Patrick Edwards\patrick-edwards-1,Houston,CUSA,12,71,1100,15.5,13,1,-9,-9.0,0,72,1091,15.2,13
72,Jon Baldwin*\jon-baldwin-1,Pitt,Big East,13,53,822,15.5,5,3,3,1.0,0,56,825,14.7,5
73,Jonathan Baldwin*\jonathan-baldwin-1,Pitt,Big East,13,53,822,15.5,5,3,3,1.0,0,56,825,14.7,5
74,Mark Dell*\mark-dell-1,Michigan State,Big Ten,13,51,788,15.5,6,,,,,51,788,15.5,6
75,Kierrie Johnson\kierrie-johnson-1,Houston,CUSA,12,37,572,15.5,6,,,,,37,572,15.5,6
76,Coby Fleener*\coby-fleener-1,Stanford,Pac-10,13,28,434,15.5,7,,,,,28,434,15.5,7
77,Steven Goulet*\steven-goulet-1,Ohio,MAC,13,25,388,15.5,1,8,79,9.9,0,33,467,14.2,1
78,Lester Jean\lester-jean-1,Florida Atlantic,Sun Belt,12,64,988,15.4,8,2,-16,-8.0,0,66,972,14.7,8
79,Jeremy Ebert*\jeremy-ebert-1,Northwestern,Big Ten,13,62,953,15.4,8,5,21,4.2,0,67,974,14.5,8
80,Lance Kendricks*\lance-kendricks-1,Wisconsin,Big Ten,13,43,663,15.4,5,2,-10,-5.0,0,45,653,14.5,5
81,Willie Haulstead*\willie-haulstead-1,Florida State,ACC,13,38,587,15.4,6,0,6,,0,38,593,15.6,6
82,Jalen Saunders*\jalen-saunders-1,Fresno State,WAC,13,30,462,15.4,3,19,166,8.7,0,49,628,12.8,3
83,Dwight Jones*\dwight-jones-1,North Carolina,ACC,13,62,946,15.3,4,,,,,62,946,15.3,4
84,Damaris Johnson*\damaris-johnson-1,Tulsa,CUSA,13,57,872,15.3,4,55,560,10.2,7,112,1432,12.8,11
85,Marvin Jones\marvin-jones-1,California,Pac-10,12,50,765,15.3,4,6,94,15.7,1,56,859,15.3,5
86,Patrick Hearn\patrick-hearn-1,UAB,CUSA,12,35,536,15.3,4,3,11,3.7,0,38,547,14.4,4
87,Duwyce Wilson\duwyce-wilson-1,Indiana,Big Ten,12,32,488,15.3,3,,,,,32,488,15.3,3
88,Shaky Smithson*\shaky-smithson-1,Utah,MWC,13,25,383,15.3,3,4,33,8.3,0,29,416,14.3,3
