"","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","ppr"
"42","Jermaine Kearse","WR","SEA",38,22,346,671,37,4,17.7,0.52,0.18,0.1,0.28,80.6
"43","Justin Hunter","WR","TEN",42,18,354,727,126,4,17.3,0.49,0.19,0.1,0.28,77.4
"44","Justin Blackmon","WR","JAC",48,29,415,384,243,1,8,1.08,0.36,0.31,0.72,76.4
"45","Andre Holmes","WR","OAK",52,25,431,734,130,1,14.1,0.59,0.27,0.16,0.43,74.1
"46","Terrelle Pryor","WR","OAK",0,0,0,2040,0,0,Inf,0,0.74,0,0.52,69
"47","Darrius Heyward-Bey","WR","IND",64,29,309,658,124,1,10.3,0.47,0.14,0.12,0.27,68.5
"48","Aldrick Robinson","WR","WAS",46,18,365,862,86,2,18.7,0.42,0.2,0.09,0.27,66.1
"49","Marquise Goodwin","WR","BUF",32,17,283,639,45,3,20,0.44,0.2,0.08,0.27,64.6
"50","Brian Quick","WR","STL",35,18,302,386,105,2,11,0.78,0.11,0.08,0.19,60.2
"51","Michael Crabtree","WR","SF",33,19,284,310,135,1,9.4,0.92,0.25,0.23,0.53,53.4
"52","Dwayne Harris","WR","DAL",14,9,80,100,36,2,7.1,0.8,0.03,0.03,0.06,29.6
"53","Jaron Brown","WR","ARI",17,10,127,206,32,1,12.1,0.62,0.05,0.04,0.09,28.7
"54","Kenny Britt","WR","TEN",35,11,96,459,13,0,13.1,0.21,0.14,0.1,0.24,20.6
"55","Travis Benjamin","WR","CLE",13,5,105,243,60,0,18.7,0.43,0.09,0.04,0.12,20
"56","Deonte Thompson","WR","BAL",20,10,96,238,17,0,11.9,0.4,0.13,0.11,0.25,19.6
"57","Brice Butler","WR","OAK",17,9,103,186,33,0,10.9,0.55,0.11,0.08,0.19,19.3
"58","Chris Hogan","WR","BUF",17,10,83,129,29,0,7.6,0.64,0.04,0.05,0.1,18.3
"59","Brittan Golden","WR","ARI",10,4,136,180,75,0,18,0.76,0.09,0.05,0.15,17.6
"60","Markus Wheaton","WR","PIT",13,6,64,159,36,0,12.2,0.4,0.07,0.04,0.11,12.4
"61","Nick Williams","WR","WAS",11,3,15,104,1,0,9.5,0.14,0.06,0.06,0.13,4.5
"62","Eric Weems","WR","CHI",2,1,8,22,4,0,11,0.36,0.01,0.01,0.02,1.8
"63","Brandon Tate","WR","CIN",2,1,6,13,0,0,6.5,0.46,0,0,0.01,1.6
"64","Josh Bellamy","WR","WAS",0,0,0,0,0,0,NA,NA,0,0,0,0
"65","Matthew Slater","WR","NE",0,0,0,0,0,0,NA,NA,0,0,0,0
"66","Russell Shepard","WR","TB",0,0,0,0,0,0,NA,NA,0,0,0,0
