"","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","ppr"
"73","Rishard Matthews","WR","MIA",22,12,135,264,38,2,12,0.51,0.08,0.05,0.14,37.8
"74","Ted Ginn","WR","ARI",26,14,190,399,45,0,15.3,0.48,0.07,0.05,0.11,33.6
"75","Bruce Ellington","WR","SF",12,6,62,120,33,2,10,0.52,0.03,0.03,0.07,33
"76","Eric Weems","WR","ATL",11,10,102,93,28,2,8.5,1.1,0.03,0.03,0.06,32.2
"77","Dontrelle Inman","WR","SD",17,12,158,214,14,0,12.6,0.74,0.23,0.19,0.45,27.8
"78","Adam Thielen","WR","MIN",14,8,137,177,34,1,12.6,0.77,0.06,0.03,0.09,27.7
"79","Michael Campanaro","WR","BAL",9,7,102,83,35,1,9.2,1.23,0.07,0.07,0.16,23.2
"80","Dwayne Harris","WR","DAL",12,7,116,117,36,0,9.8,0.99,0.03,0.03,0.06,19.3
"81","Kevin Norwood","WR","SEA",10,9,102,130,39,0,13,0.78,0.08,0.05,0.14,19.2
"82","Ryan Grant","WR","WAS",15,7,68,192,23,0,12.8,0.35,0.11,0.06,0.17,13.8
"83","Russell Shepard","WR","TB",8,4,63,127,22,0,15.9,0.5,0.03,0.02,0.05,10.3
"84","Darrius Heyward-Bey","WR","PIT",5,3,33,83,0,0,16.6,0.4,0.02,0.01,0.04,6.3
"85","Marquise Goodwin","WR","BUF",9,1,42,169,6,0,18.8,0.25,0.08,0.03,0.1,6
"86","Cody Latimer","WR","DEN",4,2,23,45,16,0,11.2,0.51,0.03,0.02,0.05,4.3
"87","Jeff Janis","WR","GB",2,2,16,15,1,0,7.5,1.07,0.06,0.09,0.18,3.6
"88","Tavarres King","WR","TB",3,2,13,15,4,0,5,0.87,0.09,0.13,0.26,3.3
"89","Aldrick Robinson","WR","WAS",3,1,6,40,8,0,13.3,0.15,0.05,0.04,0.1,1.6
"90","Chris Matthews","WR","SEA",0,0,0,0,0,0,NA,NA,0,0,0,0
"91","Isaiah Burse","WR","DEN",1,0,0,20,0,0,20,0,0.01,0,0.01,0
"92","Josh Bellamy","WR","CHI",1,0,0,51,0,0,51,0,0.17,0.03,0.16,0
"93","Matthew Slater","WR","NE",0,0,0,0,0,0,NA,NA,0,0,0,0
"94","Walt Powell","WR","NYJ",0,0,0,0,0,0,NA,NA,0,0,0,0
