"","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","ppr"
"1","Jordy Nelson","WR","GB",96,68,1263,1201,411,15,12.5,1.05,0.24,0.17,0.43,284.3
"2","Larry Fitzgerald","WR","ARI",154,80,1411,2051,516,8,13.3,0.69,0.43,0.28,0.72,269.1
"3","Mike Wallace","WR","PIT",114,72,1193,1444,480,8,12.7,0.83,0.29,0.21,0.52,245
"4","Brandon Marshall","WR","MIA",141,81,1221,1767,312,6,12.5,0.69,0.39,0.3,0.72,239.1
"5","A.J. Green","WR","CIN",115,65,1057,1516,278,7,13.2,0.7,0.39,0.24,0.62,218
"6","Dez Bryant","WR","DAL",103,63,928,1214,348,9,11.8,0.76,0.31,0.2,0.51,210.3
"7","Julio Jones","WR","ATL",95,54,959,1292,407,8,13.6,0.74,0.29,0.19,0.48,203.5
"8","Pierre Garcon","WR","IND",134,70,947,1530,357,6,11.4,0.62,0.35,0.25,0.62,203.5
"9","Antonio Brown","WR","PIT",124,69,1108,1525,372,2,12.3,0.73,0.31,0.23,0.56,195.9
"10","Darrius Heyward-Bey","WR","OAK",115,64,975,1617,264,4,14.1,0.6,0.32,0.23,0.58,185.5
"11","Michael Crabtree","WR","SF",115,73,880,1057,365,4,9.2,0.83,0.33,0.27,0.63,185
"12","DeSean Jackson","WR","PHI",104,58,961,1568,236,4,15.1,0.61,0.31,0.2,0.52,182.2
"13","Torrey Smith","WR","BAL",95,50,841,1692,238,7,17.8,0.5,0.36,0.19,0.53,180
"14","Jeremy Maclin","WR","PHI",96,63,859,1172,262,5,12.2,0.73,0.29,0.22,0.53,179
"15","Doug Baldwin","WR","SEA",85,51,788,946,310,4,11.1,0.83,0.21,0.17,0.4,153.6
"16","Eric Decker","WR","DEN",94,44,612,1377,177,8,14.6,0.44,0.28,0.22,0.52,153.3
"17","Andre Roberts","WR","ARI",98,51,586,926,226,2,9.4,0.63,0.19,0.18,0.4,124.3
"18","Brandon LaFell","WR","CAR",56,36,613,746,239,3,13.3,0.82,0.16,0.12,0.29,115.3
"19","Demaryius Thomas","WR","DEN",70,32,551,1086,113,4,15.5,0.51,0.31,0.27,0.63,111.6
"20","Harry Douglas","WR","ATL",62,39,498,643,232,1,10.4,0.77,0.15,0.12,0.28,95.1
"21","Golden Tate","WR","SEA",58,35,382,659,158,3,11.4,0.58,0.16,0.12,0.3,92.6
"22","Arrelious Benn","WR","TB",51,30,441,616,174,3,12.1,0.72,0.16,0.1,0.26,91.4
"23","Jeremy Kerley","WR","NYJ",47,29,314,489,100,1,10.4,0.64,0.13,0.1,0.24,69.2
"24","Randall Cobb","WR","GB",30,24,369,292,180,1,9.7,1.26,0.06,0.06,0.13,68
"25","Kenny Britt","WR","TEN",26,17,289,335,122,3,12.9,0.86,0.38,0.23,0.62,63.9
"26","Emmanuel Sanders","WR","PIT",43,22,288,585,128,2,13.6,0.49,0.17,0.11,0.29,62.8
"27","Ted Ginn","WR","SF",33,19,220,369,43,0,11.2,0.6,0.12,0.08,0.21,47.8
"28","Eric Weems","WR","ATL",14,11,90,92,30,0,6.6,0.98,0.02,0.02,0.05,20
"29","Danny Amendola","WR","STL",6,5,45,26,25,0,4.3,1.73,0.14,0.17,0.35,9.5
"30","Julian Edelman","WR","NE",8,4,34,106,8,0,13.2,0.32,0.03,0.02,0.04,8.2
"31","Matthew Slater","WR","NE",3,1,46,177,0,0,59,0.26,0.04,0.01,0.04,5.6
"32","Brandon Tate","WR","CIN",0,0,0,0,0,0,NA,NA,0,0,0,0
"33","Dwayne Harris","WR","DAL",0,0,0,0,0,0,NA,NA,0,0,0,0
"34","Kamar Aiken","WR","BUF",0,0,0,0,0,0,NA,NA,0,0,0,0
"35","Terrelle Pryor","WR","OAK",0,0,0,0,0,0,NA,NA,0,0,0,0
