"","Player","Conf","Rec","Yds","YdsCatch","TD","NflYds","NflTD","Height","Wt","fourtyYD","Vertical","WrScore","LogScore"
"60","Martavis Bryant","ACC","42","828","19.7","7",549,8,"76",211,4.42,39,1029,6.93634273583405
"61","Marvin Jones","Pac-12","62","846","13.6","3",201,1,"74",199,4.46,33,261,5.56452040732269
"62","Michael Campanaro","ACC","67","803","12.0","6",102,1,"69",192,4.46,39,162,5.08759633523238
"63","Michael Floyd","Ind","100","1147","11.5","9",562,2,"75",220,4.4,36.5,682,6.52502965784346
"64","Michael Thomas","Big Ten","56","781","13.9","9",1137,9,"75",212,4.57,35,1677,7.42476176182321
"65","Michael Thomas","CUSA","71","1391","19.6","14",1137,9,"75",212,4.57,35,1677,7.42476176182321
"66","Mike Evans","SEC","69","1394","20.2","12",1051,12,"77",231,4.53,37,1771,7.47929963778283
"67","Mike Williams","ACC","98","1361","13.9","11",95,0,"73",221,4.53,33.5,95,4.55387689160054
"69","Mohamed Sanu","Big East","115","1206","10.5","7",154,4,"73",211,4.62,36,394,5.97635090929793
"71","Odell Beckham","SEC","59","1152","19.5","8",1305,12,"71",198,4.38,38.5,2025,7.61332497954064
"72","Paul Richardson","Pac-12","83","1343","16.2","10",271,1,"72",175,4.4,38,331,5.80211837537706
"73","Pharoh Cooper","SEC","66","973","14.7","8",106,0,"71",203,4.52,31,106,4.66343909411207
"74","Phillip Dorsett","ACC","36","871","24.2","10",225,1,"70",185,4.33,37,285,5.65248918026865
"76","Randall Cobb","SEC","84","1017","12.1","7",369,1,"70",191,4.46,33.5,429,6.06145691892802
"77","Rashad Greene","ACC","99","1365","13.8","7",93,2,"71",182,4.53,36.5,213,5.36129216570943
"78","Rashard Higgins","MWC","74","1061","14.3","8",77,0,"73",196,4.64,32,77,4.34380542185368
"79","Ricardo Louis","SEC","46","716","15.6","3",205,0,"74",215,4.43,38,205,5.32300997913841
"80","Rishard Matthews","WAC","91","1364","15.0","8",151,0,"72",217,4.54,36,151,5.01727983681492
"81","Robert Woods","Pac-12","76","846","11.1","11",587,3,"72",201,4.51,33.5,767,6.64248680136726
"82","Roger Lewis","MAC","85","1544","18.2","16",97,2,"72",201,4.57,33.5,217,5.37989735354046
"83","Ryan Grant","CUSA","77","1039","13.5","9",68,0,"72",199,4.64,35.5,68,4.21950770517611
